STATE_ABBR;Name;2017 Population
CA;California;39,849,872
TX;Texas;28,449,186
FL;Florida;21,002,678
NY;New York;19,889,657
PA;Pennsylvania;12,819,975
IL;Illinois;12,815,607
OH;Ohio;11,646,273
GA;Georgia;10,450,316
NC;North Carolina;10,247,632
MI;Michigan;9,935,116
NJ;New Jersey;8,996,351
VA;Virginia;8,492,783
WA;Washington;7,384,721
AZ;Arizona;7,026,629
MA;Massachusetts;6,873,018
TN;Tennessee;6,705,339
IN;Indiana;6,663,280
MO;Missouri;6,123,362
MD;Maryland;6,068,511
WI;Wisconsin;5,795,147
CO;Colorado;5,658,546
MN;Minnesota;5,554,532
SC;South Carolina;5,030,118
AL;Alabama;4,884,115
LA;Louisiana;4,714,192
KY;Kentucky;4,450,042
OR;Oregon;4,144,527
OK;Oklahoma;3,974,794
CT;Connecticut;3,583,134
IA;Iowa;3,152,735
UT;Utah;3,098,761
AR;Arkansas;3,000,942
NV;Nevada;2,995,973
MS;Mississippi;2,990,113
KS;Kansas;2,929,909
NM;New Mexico;2,084,193
NE;Nebraska;1,922,610
WV;West Virginia;1,834,882
ID;Idaho;1,695,178
HI;Hawaii;1,454,295
NH;New Hampshire;1,335,832
ME;Maine;1,327,472
RI;Rhode Island;1,059,080
MT;Montana;1,052,343
DE;Delaware;965,866
SD;South Dakota;868,799
ND;North Dakota;790,701
AK;Alaska;741,204
VT;Vermont;624,592
WY;Wyoming;589,713
